model,scene_label,truth,run,load_ms,local_ms,local_risk,yolo_ms,llm_ms,total_ms,yolo_objects,yolo_type,clip_label,clip_risk,clip_conf,detected_risk,risk_correct,quality_score,input_tokens,output_tokens,cost_usd,reply,error
claude,object_table,caution,4,0.58,39.36,safe,271.41,5760.5,6071.9,0,yolo-world,disabled,disabled,0.0,caution,1,5,956,158,0.005238,"Description: The image shows an indoor environment with a laptop on a table displaying code/IDE, with shelving units visible in the background; the scene is moderately lit but somewhat dim, with clutter on surfaces at table level.
Sensor note: YOLO-World detected a shelf at 2.53m which is consistent with the background shelving visible in the image; no persons or close obstacles detected by sensors, consistent with visual analysis.
Proximity: The table with the laptop appears to be the closest significant object, visually estimated at approximately 1.5–2m; the shelving in the background aligns with the sensor reading of ~2.53m.
Risk: caution
Pilot suggested action: HOVER",
gpt4o,object_table,caution,4,0.58,39.36,safe,271.41,2922.2,3233.5,0,yolo-world,disabled,disabled,0.0,safe,0,4,772,83,0.005105,"Description: The image shows a laptop on a table in a room with shelves and other furniture in the background. The area appears clear at the ~1m flight path level.
Sensor note: Consistent with sensor data; the shelf detection aligns with the visual scene.
Proximity: Closest object is the laptop, visually estimated at ~1m away.
Risk: Safe
Pilot suggested action: PITCH_FORWARD",
gpt4o_mini,object_table,caution,4,0.58,39.36,safe,271.41,4521.4,4832.8,0,yolo-world,disabled,disabled,0.0,caution,1,5,3539,125,0.000606,"Description: The image shows a laptop on a table with a cluttered background, including shelves and other objects. The scene appears well-lit, but there are several items in the vicinity that could pose a risk if the drone were to navigate at 1m altitude. 

Sensor note: Consistent; YOLO detected a shelf at 2.53m, which aligns with the visual clutter present in the image.

Proximity: The closest object appears to be the edge of the table, approximately 0.5m away from the drone's expected flight path.

Risk: Caution

Pilot suggested action: HOVER",
gemini,object_table,caution,4,0.58,39.36,safe,271.41,2131.6,2442.9,0,yolo-world,disabled,disabled,0.0,hazard,0,4,1008,110,0.000109,"Description: The drone is facing a laptop on a table, which is a significant obstacle directly in the flight path. The background shows what appears to be shelves or furniture.
Sensor note: YOLO detected a ""shelf"" at 2.53m, which is inconsistent with the prominent laptop directly in front of the drone. The local detector's brightness reading is consistent with the image.
Proximity: The laptop is very close, visually estimated to be well within 1 meter.
Risk: hazard
Pilot suggested action: HOVER",
claude,object_table,caution,5,0.46,31.09,safe,274.13,6666.3,6972.0,0,yolo-world,disabled,disabled,0.0,caution,1,5,956,190,0.005718,"Description: The scene shows an indoor environment with a laptop on a desk/table displaying code, with shelving units visible in the background; the area appears to be a dimly lit room with moderate clutter at table level but no person visibly close to the drone.
Sensor note: YOLO-World detected a shelf at 2.53m with low confidence (0.19); visually consistent — shelving is present in the background. The laptop and desk are not detected by YOLO but are clearly visible in the image as foreground obstacles.
Proximity: The desk/table surface appears to be the closest object, estimated at roughly 0.5–1m below or ahead of the drone; the laptop screen is prominently close in frame, suggesting a potential obstacle within ~1–1.5m forward.
Risk: caution
Pilot suggested action: HOVER",
gpt4o,object_table,caution,5,0.46,31.09,safe,274.13,3476.7,3782.4,0,yolo-world,disabled,disabled,0.0,safe,0,4,772,81,0.005075,"Description: The image shows a laptop on a table in a room with shelves and other furniture in the background. The area appears clear at the ~1m flight path level.
Sensor note: Consistent with sensor data; the shelf detection aligns with the visual scene.
Proximity: Closest object is the laptop, approximately 1m away.
Risk: Safe
Pilot suggested action: PITCH_FORWARD",
gpt4o_mini,object_table,caution,5,0.46,31.09,safe,274.13,4197.6,4503.3,0,yolo-world,disabled,disabled,0.0,caution,1,5,3539,103,0.000593,"Description: The image shows a laptop on a table with a cluttered background, including shelves and other objects. The scene appears well-lit, but there are potential obstacles in the vicinity of the laptop. 

Sensor note: Consistent with YOLO detection of a shelf at 2.53m, but no other objects detected. 

Proximity: The closest object appears to be the laptop itself, which is approximately 0.5m away. 

Risk: Caution 
Pilot suggested action: HOVER",
gemini,object_table,caution,5,0.46,31.09,safe,274.13,2155.1,2460.8,0,yolo-world,disabled,disabled,0.0,hazard,0,4,1008,110,0.000109,"Description: The drone is facing a laptop on a table, which is a significant obstacle directly in the flight path. The background shows what appears to be shelves or furniture.
Sensor note: YOLO detected a ""shelf"" at 2.53m, which is inconsistent with the prominent laptop directly in front of the drone. The local detector's brightness reading is consistent with the image.
Proximity: The laptop is very close, visually estimated to be well within 1 meter.
Risk: hazard
Pilot suggested action: HOVER",
claude,dim_light,caution,1,0.55,41.25,safe,271.3,8521.6,8834.7,0,yolo-world,disabled,disabled,0.0,hazard,0,3,956,282,0.007098,"Description: The image shows a heavily noise-corrupted, green-tinted indoor scene revealing what appears to be a room with furniture (sofa/couch on the left, a white pillow/cushion on the right) and walls with windows or shelving in the background; the scene is visually cluttered with objects at varying depths within a few meters.
Sensor note: YOLO detects a wall at 0.42m depth covering nearly the full frame — this is plausible given the furniture and walls visible close to the drone; the detection is consistent with the cluttered near-field scene observed visually.
Proximity: Closest objects (furniture/wall surfaces) appear to be approximately 0.4–0.8m away, consistent with the DA v2 depth reading of 0.42m — objects are very close to the drone on multiple sides.
Risk: hazard
Pilot suggested action: HOVER

**Rationale:** The DepthAnything v2 metric depth of 0.42m places a wall/obstacle directly within the hazard threshold (<1m, blocking flight path). Visual analysis confirms dense clutter and furniture crowding the frame at close range. Immediate hover to halt forward motion and allow reassessment before any translational command is issued.",
gpt4o,dim_light,caution,1,0.55,41.25,safe,271.3,3244.9,3558.0,0,yolo-world,disabled,disabled,0.0,caution,1,5,772,90,0.00521,"Description: The image is dark and grainy, making it difficult to clearly identify objects or obstacles. There appears to be clutter at floor level, but no immediate obstruction is visible.
Sensor note: The sensor detects a wall at 0.42m depth, which is consistent with the image showing potential clutter.
Proximity: Closest object visually estimated at approximately 0.5m.
Risk: Caution
Pilot suggested action: HOVER",
gpt4o_mini,dim_light,caution,1,0.55,41.25,safe,271.3,4414.3,4727.4,0,yolo-world,disabled,disabled,0.0,caution,1,5,3539,109,0.000596,"Description: The image appears dimly lit with some indistinct shapes, suggesting potential clutter in the environment. There are no clearly visible obstacles directly in the flight path, but the low visibility raises concerns about the surroundings. 

Sensor note: Consistent with YOLO detection of a wall at 0.42m, but the overall scene is too unclear to confirm safety.

Proximity: The closest object appears to be around 0.5m away, based on the wall detection.

Risk: Caution

Pilot suggested action: HOVER",
gemini,dim_light,caution,1,0.55,41.25,safe,271.3,2962.6,3275.7,0,yolo-world,disabled,disabled,0.0,hazard,0,4,1005,153,0.000121,"Description: The image is extremely noisy and dark, making it very difficult to discern any clear objects or features. There appears to be some indistinct shapes, possibly a wall or large object on the right, but no clear flight path can be confirmed.
Sensor note: The YOLO detection of 'wall' at 0.42m is plausible given the indistinct shape on the right, but the overall scene is much darker and noisier than indicated by the local detector's brightness reading of 124/255.
Proximity: Visually, the closest indistinct object appears to be within 1 meter, consistent with the YOLO detection of a wall at 0.42m.
Risk: hazard
Pilot suggested action: HOVER",
claude,dim_light,caution,2,0.6,37.02,safe,276.65,8594.9,8909.2,0,yolo-world,disabled,disabled,0.0,hazard,0,3,956,264,0.006828,"Description: The image shows a heavily noise-affected, greenish-tinted indoor scene revealing what appears to be a couch/sofa on the left and a large light-colored object (possibly a chair or cushion) on the right foreground at approximately 1m distance, with walls and furniture visible in the background.
Sensor note: YOLO detected a wall at 0.42m depth covering nearly the full frame bbox, which may correspond to the large bright object on the right foreground — likely a chair/cushion rather than a bare wall; the detection is plausible but the class label is questionable.
Proximity: The bright object on the right foreground appears to be the closest obstacle, visually estimated at roughly 0.5–1m, consistent with the 0.42m depth reading from DepthAnything v2.
Risk: hazard
Pilot suggested action: HOVER

**Reasoning:** The 0.42m depth reading combined with visual confirmation of a large object in the near foreground directly within the ~1m flight corridor constitutes an imminent obstacle. The drone should stop all forward motion immediately and hover to allow reassessment before any further navigation command is issued.",
gpt4o,dim_light,caution,2,0.6,37.02,safe,276.65,2517.3,2831.6,0,yolo-world,disabled,disabled,0.0,caution,1,5,772,94,0.00527,"Description: The image is dark and grainy, making it difficult to clearly identify objects or obstacles. There appears to be clutter at floor level, but no immediate obstruction is visible.
Sensor note: The sensor detects a wall at 0.42m, which is consistent with the image showing potential clutter.
Proximity: Closest object visually estimated at approximately 0.4m, consistent with depth_m.
Risk: Caution
Pilot suggested action: HOVER",
gpt4o_mini,dim_light,caution,2,0.6,37.02,safe,276.65,4339.5,4653.8,0,yolo-world,disabled,disabled,0.0,caution,1,5,3539,102,0.000592,"Description: The image appears dimly lit with some indistinct shapes, suggesting potential obstacles or clutter in the environment. The visibility is low, making it difficult to ascertain the exact layout of the space.

Sensor note: Consistent; YOLO detected a wall at 0.42m, which aligns with the visual clutter observed.

Proximity: The closest object appears to be within 0.5m based on the wall detection and visual assessment.

Risk: Caution

Pilot suggested action: HOVER",
gemini,dim_light,caution,2,0.6,37.02,safe,276.65,2973.7,3288.0,0,yolo-world,disabled,disabled,0.0,hazard,0,4,1005,153,0.000121,"Description: The image is extremely noisy and dark, making it very difficult to discern any clear objects or features. There appears to be some indistinct shapes, possibly a wall or large object on the right, but no clear flight path can be confirmed.
Sensor note: The YOLO detection of 'wall' at 0.42m is plausible given the indistinct shape on the right, but the overall scene is much darker and noisier than indicated by the local detector's brightness reading of 124/255.
Proximity: Visually, the closest indistinct object appears to be within 1 meter, consistent with the YOLO detection of a wall at 0.42m.
Risk: hazard
Pilot suggested action: HOVER",
claude,dim_light,caution,3,0.57,40.0,safe,270.76,6548.7,6860.0,0,yolo-world,disabled,disabled,0.0,hazard,0,4,956,197,0.005823,"Description: The image shows a heavily noise-corrupted, green-tinted indoor scene revealing what appears to be a couch/sofa on the left and a large bright object (possibly a cushion or chair back) on the right at close range, with the flight path at ~1m altitude appearing partially obstructed by furniture within 1-2m.
Sensor note: YOLO detects a wall at 0.42m depth covering nearly the full frame — this is consistent with a large close obstacle filling the view; the scene is cluttered with furniture that could block forward flight.
Proximity: Closest object visually estimated at roughly 0.5-1m (the bright object on the right and sofa on the left both appear very close); consistent with YOLO/DepthAnything reporting 0.42m.
Risk: hazard
Pilot suggested action: HOVER",
gpt4o,dim_light,caution,3,0.57,40.0,safe,270.76,2455.0,2766.3,0,yolo-world,disabled,disabled,0.0,caution,1,5,772,94,0.00527,"Description: The image is dark and grainy, making it difficult to clearly identify objects or obstacles. There appears to be clutter at floor level, but no immediate obstruction is visible.
Sensor note: The sensor detects a wall at 0.42m, which is consistent with the image showing potential clutter.
Proximity: Closest object visually estimated at approximately 0.4m, consistent with depth_m.
Risk: Caution
Pilot suggested action: HOVER",
gpt4o_mini,dim_light,caution,3,0.57,40.0,safe,270.76,3935.7,4247.0,0,yolo-world,disabled,disabled,0.0,caution,1,5,3539,102,0.000592,"Description: The image appears dimly lit with some indistinct shapes, suggesting potential obstacles or clutter in the environment. The visibility is low, making it difficult to assess the surroundings clearly. 

Sensor note: Consistent; YOLO detected a wall at 0.42m, which aligns with the visual clutter observed. 

Proximity: The closest object appears to be within 0.5m based on the wall detection and visual assessment. 

Risk: Caution  
Pilot suggested action: HOVER",
gemini,dim_light,caution,3,0.57,40.0,safe,270.76,2212.0,2523.3,0,yolo-world,disabled,disabled,0.0,hazard,0,4,1005,168,0.000126,"Description: The image is extremely noisy and dark, making it very difficult to discern any clear objects or features. There appears to be some indistinct green and yellow shapes, possibly indicating foliage or a room with poor lighting.
Sensor note: The local detector reports brightness=124/255, which is inconsistent with the visually very dark and noisy image. YOLO-World detected a ""wall"" at 0.42m, but the image quality makes it impossible to confirm this visually or assess its true proximity.
Proximity: Due to the severe noise and darkness, it's impossible to visually estimate the proximity of any objects with confidence. The YOLO-W ""wall"" detection at 0.42m, if accurate, would be a hazard.
Risk: hazard
Pilot suggested action: HOVER",
claude,dim_light,caution,4,0.44,37.53,safe,272.39,7199.0,7509.4,0,yolo-world,disabled,disabled,0.0,hazard,0,4,956,225,0.006243,"Description: The image shows a dimly lit indoor room with heavy green/teal noise artifacts, revealing what appears to be a couch or chair on the left, a cushion/pillow on the right foreground at close range, and furniture/shelving in the background. The overall scene is visually cluttered with poor visibility due to significant image noise and color distortion.

Sensor note: YOLO detects a wall at 0.42m depth — consistent with the close-range cushion/furniture visible on the right side of the frame, which appears to be within ~0.5m of the drone. The 0.42m depth reading aligns with my visual assessment of a nearby object.

Proximity: The cushion/object on the right appears to be the closest obstacle, estimated at approximately 0.4–0.6m — consistent with the 0.42m depth reading from DepthAnything v2. This is within hazard threshold.

Risk: hazard

Pilot suggested action: HOVER",
gpt4o,dim_light,caution,4,0.44,37.53,safe,272.39,2623.2,2933.6,0,yolo-world,disabled,disabled,0.0,caution,1,5,772,103,0.005405,"Description: The image is grainy and dimly lit, making it difficult to clearly identify objects. There appears to be clutter at floor level, but no immediate obstacles blocking the flight path at ~1m altitude.
Sensor note: The sensor detection of a wall at 0.42m depth is consistent with the image, which shows potential obstacles.
Proximity: Closest object visually estimated at approximately 0.4m, consistent with depth_m.
Risk: Caution
Pilot suggested action: HOVER",
gpt4o_mini,dim_light,caution,4,0.44,37.53,safe,272.39,4711.5,5021.9,0,yolo-world,disabled,disabled,0.0,caution,1,5,3539,106,0.000594,"Description: The image appears dimly lit with some indistinct shapes, suggesting potential obstacles or clutter in the environment. The visibility is low, making it difficult to ascertain the exact layout of the space. 

Sensor note: Consistent; YOLO detected a wall at 0.42m, which aligns with the visual assessment of potential obstacles.

Proximity: The closest object appears to be within 0.5m based on the YOLO detection and visual cues.

Risk: Caution

Pilot suggested action: HOVER",
gemini,dim_light,caution,4,0.44,37.53,safe,272.39,1890.5,2200.9,0,yolo-world,disabled,disabled,0.0,hazard,0,4,1005,153,0.000121,"Description: The image is extremely noisy and dark, making it very difficult to discern any clear objects or features. There appears to be some indistinct shapes, possibly a wall or large object on the right, but no clear flight path can be confirmed.
Sensor note: The YOLO detection of 'wall' at 0.42m is plausible given the indistinct shape on the right, but the overall scene is much darker and noisier than indicated by the local detector's brightness reading of 124/255.
Proximity: Visually, the closest indistinct object appears to be within 1 meter, consistent with the YOLO detection of a wall at 0.42m.
Risk: hazard
Pilot suggested action: HOVER",
claude,dim_light,caution,5,0.44,40.09,safe,265.31,6511.8,6817.6,0,yolo-world,disabled,disabled,0.0,hazard,0,4,956,212,0.006048,"Description: The image shows a dimly lit indoor room with heavy green-tinted noise/grain, revealing what appears to be a couch or sofa on the left, a pillow or cushion on the right foreground (~1m proximity), and furniture/shelving in the background; the scene is cluttered and low-visibility.
Sensor note: YOLO detects a wall at 0.42m depth covering nearly the full frame — this likely corresponds to the large cushion/furniture mass visible in the right foreground, which is consistent with a close obstacle. The depth reading of ~0.42m is credible given the visually prominent object in the near field.
Proximity: Closest object estimated at ~0.4–0.6m (the cushion/furniture on the right foreground), consistent with DA v2 depth of 0.42m — this is within hazard threshold.
Risk: hazard
Pilot suggested action: HOVER",
gpt4o,dim_light,caution,5,0.44,40.09,safe,265.31,2558.2,2864.0,0,yolo-world,disabled,disabled,0.0,caution,1,5,772,96,0.0053,"Description: The image is dark and grainy, making it difficult to clearly identify objects or obstacles. There appears to be clutter at floor level, but no immediate obstruction is visible.
Sensor note: The YOLO detection of a wall at 0.42m depth is consistent with the image's appearance of clutter.
Proximity: Closest object visually estimated at approximately 0.4m, consistent with depth_m.
Risk: Caution
Pilot suggested action: HOVER",
gpt4o_mini,dim_light,caution,5,0.44,40.09,safe,265.31,4112.1,4417.9,0,yolo-world,disabled,disabled,0.0,caution,1,5,3539,104,0.000593,"Description: The image appears dimly lit with some indistinct shapes, suggesting potential obstacles or clutter in the environment. The visibility is low, making it difficult to ascertain the exact layout of the space.

Sensor note: Consistent; YOLO detected a wall at 0.42m, which aligns with the visual analysis of potential obstacles.

Proximity: The closest object appears to be within 0.5m based on the YOLO detection and visual assessment.

Risk: caution

Pilot suggested action: HOVER",
gemini,dim_light,caution,5,0.44,40.09,safe,265.31,2084.1,2389.9,0,yolo-world,disabled,disabled,0.0,hazard,0,4,1005,153,0.000121,"Description: The image is extremely noisy and dark, making it very difficult to discern any clear objects or features. There appears to be some indistinct shapes, possibly a wall or large object on the right, but no clear flight path can be confirmed.
Sensor note: The YOLO detection of 'wall' at 0.42m is plausible given the indistinct shape on the right, but the overall scene is much darker and noisier than indicated by the local detector's brightness reading of 124/255.
Proximity: Visually, the closest indistinct object appears to be within 1 meter, consistent with the YOLO detection of a wall at 0.42m.
Risk: hazard
Pilot suggested action: HOVER",
claude,cluttered,caution,1,0.55,30.3,safe,268.03,7025.1,7324.0,0,yolo-world,disabled,disabled,0.0,hazard,0,4,956,208,0.005988,"Description: The image shows an indoor industrial or warehouse-like environment at low altitude, with large white panels/walls nearby, some cardboard boxes, and what appears to be equipment or machinery in the mid-ground. The flight path appears partially obstructed by close white panels on the right side and structural elements.

Sensor note: YOLO detected a wall at 4.03m depth, but the white panel/surface on the right appears significantly closer than 4m — likely within 1-2m — suggesting the depth estimate may be referencing a more distant wall rather than the nearest obstacle.

Proximity: The closest object appears to be the white panel/surface on the right side of the frame, visually estimated at approximately 0.5–1.5m. There is also a dark diagonal object (possibly a conveyor or ramp) in the lower-left quadrant within ~1m.

Risk: hazard

Pilot suggested action: HOVER",
gpt4o,cluttered,caution,1,0.55,30.3,safe,268.03,2559.0,2857.9,0,yolo-world,disabled,disabled,0.0,caution,1,5,772,79,0.005045,"Description: The image shows a cluttered indoor environment with various objects on a table or shelf, but no immediate obstacles blocking the flight path at ~1m altitude.
Sensor note: Consistent with sensor data indicating a wall at 4.03m depth.
Proximity: Closest object visually estimated at approximately 1m away.
Risk: Caution
Pilot suggested action: HOVER",
gpt4o_mini,cluttered,caution,1,0.55,30.3,safe,268.03,4095.7,4394.6,0,yolo-world,disabled,disabled,0.0,caution,1,5,3539,110,0.000597,"Description: The image shows a workspace with a stapler and some boxes, but the area appears cluttered. There are no visible people or obstacles directly in the flight path, but the environment is not entirely clear. 

Sensor note: Consistent; YOLO detected a wall at a distance of 4.03m, which aligns with the visual assessment of the space.

Proximity: The closest object appears to be the stapler, which is approximately 0.5m away.

Risk: Caution

Pilot suggested action: HOVER",
gemini,cluttered,caution,1,0.55,30.3,safe,268.03,2767.0,3065.9,0,yolo-world,disabled,disabled,0.0,hazard,0,4,1005,124,0.000113,"Description: The image shows a cluttered foreground with various objects on a surface, including a white container, a stapler-like object, and a cardboard box. A large white panel is visible in the background.
Sensor note: The YOLO detection of 'wall' at 4.03m is inconsistent with the visual evidence of a large white panel much closer, and the foreground clutter is completely missed.
Proximity: The closest objects (white container, stapler, box) are visually estimated to be within 0.5m-1m.
Risk: hazard
Pilot suggested action: HOVER",
claude,cluttered,caution,2,0.48,37.75,safe,277.72,6442.1,6758.1,0,yolo-world,disabled,disabled,0.0,hazard,0,4,956,186,0.005658,"Description: The image shows an indoor environment (appears to be a kitchen or industrial workspace) with white walls/surfaces, shelving overhead, and some cardboard boxes and equipment visible at lower levels; a dark conveyor-like structure or ramp is visible in the foreground-left at roughly drone height, potentially intersecting the flight path.
Sensor note: YOLO detected only a wall at 4.03m with low confidence (0.23); the dark foreground structure (conveyor/ramp) and boxes were not detected — these are real obstacles visible in the image that YOLO missed.
Proximity: The dark diagonal structure in the lower-left foreground appears to be within ~1–1.5m of the camera, posing a direct obstacle risk at ~1m altitude.
Risk: hazard
Pilot suggested action: HOVER",
gpt4o,cluttered,caution,2,0.48,37.75,safe,277.72,2148.2,2464.1,0,yolo-world,disabled,disabled,0.0,caution,1,5,772,81,0.005075,"Description: The image shows a cluttered indoor environment with various objects on a table or shelf. There is no immediate obstruction in the direct flight path at ~1m altitude.
Sensor note: Consistent with sensor data indicating a wall at 4.03m depth.
Proximity: Closest object visually estimated at approximately 1m away.
Risk: Caution
Pilot suggested action: HOVER",
gpt4o_mini,cluttered,caution,2,0.48,37.75,safe,277.72,3696.4,4012.4,0,yolo-world,disabled,disabled,0.0,safe,0,4,3539,80,0.000579,"Description: The image shows a workspace with a stapler and some boxes, but the view is somewhat obstructed by a white surface. There are no visible people or obstacles directly in the flight path. 
Sensor note: consistent
Proximity: The closest object appears to be the stapler, which is approximately 0.5m away.
Risk: safe
Pilot suggested action: ASCEND",
gemini,cluttered,caution,2,0.48,37.75,safe,277.72,2348.9,2664.9,0,yolo-world,disabled,disabled,0.0,hazard,0,4,1005,145,0.000119,"Description: The image shows a cluttered foreground with various objects on a surface, including a white rectangular object, a brown box, and a dark object. A large white panel is visible in the background on the left.
Sensor note: YOLO detection of 'wall' at 4.03m is inconsistent with the visual evidence of a large white panel much closer, likely within 1-2m, and other foreground objects. The local detector's brightness reading is consistent with the somewhat dim lighting.
Proximity: The closest objects (white rectangular object, brown box, dark object) appear to be within 0.5m to 1m.
Risk: hazard
Pilot suggested action: HOVER",
claude,cluttered,caution,3,0.48,30.71,safe,272.76,8090.6,8394.6,0,yolo-world,disabled,disabled,0.0,hazard,0,4,956,213,0.006063,"Description: The image shows an indoor industrial or warehouse-like environment at low altitude, with white walls/panels, a conveyor belt or ramp structure with dark material, cardboard boxes, and overhead ceiling infrastructure visible. The flight path appears partially obstructed by structures at roughly drone height.

Sensor note: YOLO detected a wall at 4.03m depth, which is plausible given the white panels visible in the background. However, the conveyor/ramp structure and boxes in the foreground (~1-2m range) were **not detected** by YOLO — these are real obstacles present in the image.

Proximity: Closest objects (conveyor ramp and boxes) appear to be approximately 1.0–1.5m ahead based on visual scale, well within the hazard-relevant range. The wall behind is consistent with ~4m depth reported by DepthAnything v2.

Risk: hazard

Pilot suggested action: HOVER",
gpt4o,cluttered,caution,3,0.48,30.71,safe,272.76,2560.0,2863.9,0,yolo-world,disabled,disabled,0.0,safe,0,4,772,78,0.00503,"Description: The image shows a cluttered indoor environment with objects on a table or shelf, but no immediate obstacles blocking the flight path at ~1m altitude.
Sensor note: Consistent with sensor data indicating a wall at 4.03m depth.
Proximity: Closest object visually estimated at over 3m away.
Risk: Safe
Pilot suggested action: PITCH_FORWARD",
gpt4o_mini,cluttered,caution,3,0.48,30.71,safe,272.76,3788.6,4092.5,0,yolo-world,disabled,disabled,0.0,caution,1,5,3539,100,0.000591,"Description: The image shows a workspace with a stapler and some boxes, but the area appears cluttered. There are no visible people or obstacles directly in the flight path. 
Sensor note: Consistent; YOLO detected a wall at a distance of 4.03m, which aligns with the visual analysis. 
Proximity: The closest object appears to be the stapler, which is approximately 0.5m away. 
Risk: caution 
Pilot suggested action: HOVER",
gemini,cluttered,caution,3,0.48,30.71,safe,272.76,2256.5,2560.4,0,yolo-world,disabled,disabled,0.0,hazard,0,4,1005,124,0.000113,"Description: The image shows a cluttered foreground with various objects on a surface, including a white container, a stapler-like object, and a cardboard box. A large white panel is visible in the background.
Sensor note: The YOLO detection of 'wall' at 4.03m is inconsistent with the visual evidence of a large white panel much closer, and the foreground clutter is completely missed.
Proximity: The closest objects (white container, stapler, box) are visually estimated to be within 0.5m-1m.
Risk: hazard
Pilot suggested action: HOVER",
claude,cluttered,caution,4,0.55,34.85,safe,276.82,6551.2,6863.4,0,yolo-world,disabled,disabled,0.0,hazard,0,4,956,210,0.006018,"Description: The image shows an indoor industrial or warehouse environment at low altitude, with large white surfaces/panels dominating the foreground at approximately 1m height, along with some cardboard boxes and equipment visible in the mid-ground. The flight path appears partially obstructed by the prominent white structure directly ahead.

Sensor note: YOLO detected only a wall at 4.03m depth with low confidence (0.23), but the image clearly shows a large white object/panel much closer than 4m — likely within 1-2m — that poses a direct obstruction. YOLO has under-detected the actual scene complexity.

Proximity: The large white panel/surface appears to be the closest obstacle, visually estimated at approximately 0.5–1.5m ahead, significantly closer than the sensor-reported 4.03m. This is a meaningful discrepancy favoring visual judgment.

Risk: hazard

Pilot suggested action: HOVER",
gpt4o,cluttered,caution,4,0.55,34.85,safe,276.82,2530.5,2842.7,0,yolo-world,disabled,disabled,0.0,caution,1,5,772,81,0.005075,"Description: The image shows a cluttered indoor environment with various objects on a table or shelf. There is no immediate obstruction in the direct flight path at ~1m altitude.
Sensor note: Consistent with sensor data indicating a wall at 4.03m depth.
Proximity: Closest object visually estimated at approximately 1m away.
Risk: Caution
Pilot suggested action: HOVER",
gpt4o_mini,cluttered,caution,4,0.55,34.85,safe,276.82,3404.8,3717.0,0,yolo-world,disabled,disabled,0.0,safe,0,4,3539,75,0.000576,"Description: The image shows a workspace with a white surface, a stapler, and a box in the background. There are no visible obstacles or people within close proximity.  
Sensor note: consistent  
Proximity: The closest object appears to be the stapler, which is approximately 0.5m away.  
Risk: safe  
Pilot suggested action: ASCEND",
gemini,cluttered,caution,4,0.55,34.85,safe,276.82,2254.9,2567.1,0,yolo-world,disabled,disabled,0.0,hazard,0,4,1005,145,0.000119,"Description: The image shows a cluttered foreground with various objects on a surface, including a white rectangular object, a brown box, and a dark object. A large white panel is visible in the background on the left.
Sensor note: YOLO detection of 'wall' at 4.03m is inconsistent with the visual evidence of a large white panel much closer, likely within 1-2m, and other foreground objects. The local detector's brightness reading is consistent with the somewhat dim lighting.
Proximity: The closest objects (white rectangular object, brown box, dark object) appear to be within 0.5m to 1m.
Risk: hazard
Pilot suggested action: HOVER",
claude,cluttered,caution,5,0.53,29.09,safe,265.85,5354.7,5650.2,0,yolo-world,disabled,disabled,0.0,hazard,0,4,956,168,0.005388,"Description: The image shows an indoor environment with what appears to be industrial or warehouse-style equipment/machinery at approximately 1m height, with conveyor belt components or similar industrial apparatus visible in the foreground at close range, and white walls/panels in the background.
Sensor note: YOLO detected only a wall at 4.03m with low confidence (0.23); however, the image clearly shows foreground objects (conveyor belt or industrial equipment) much closer than 4m that were not detected — these represent undetected obstacles.
Proximity: Foreground industrial equipment/structure appears to be within approximately 1-2m, potentially directly in the drone's flight path at ~1m altitude.
Risk: hazard
Pilot suggested action: HOVER",
gpt4o,cluttered,caution,5,0.53,29.09,safe,265.85,2950.8,3246.3,0,yolo-world,disabled,disabled,0.0,caution,1,5,772,79,0.005045,"Description: The image shows a cluttered indoor environment with objects on a table, but no immediate obstacles blocking the flight path at ~1m altitude.
Sensor note: Consistent with sensor data indicating a wall at 4.03m depth.
Proximity: Closest object visually estimated at ~1m, consistent with sensor data.
Risk: Caution
Pilot suggested action: HOVER",
gpt4o_mini,cluttered,caution,5,0.53,29.09,safe,265.85,3888.2,4183.7,0,yolo-world,disabled,disabled,0.0,caution,1,5,3539,110,0.000597,"Description: The image shows a workspace with a stapler and some boxes, but the area appears cluttered. There are no visible people or obstacles directly in the flight path, but the environment is not entirely clear. 

Sensor note: Consistent; YOLO detected a wall at a distance of 4.03m, which aligns with the visual assessment of the space.

Proximity: The closest object appears to be the stapler, which is approximately 0.5m away.

Risk: Caution

Pilot suggested action: HOVER",
gemini,cluttered,caution,5,0.53,29.09,safe,265.85,1849.7,2145.2,0,yolo-world,disabled,disabled,0.0,hazard,0,4,1005,124,0.000113,"Description: The image shows a cluttered foreground with various objects on a surface, including a white container, a stapler-like object, and a cardboard box. A large white panel is visible in the background.
Sensor note: The YOLO detection of 'wall' at 4.03m is inconsistent with the visual evidence of a large white panel much closer, and the foreground clutter is completely missed.
Proximity: The closest objects (white container, stapler, box) are visually estimated to be within 0.5m-1m.
Risk: hazard
Pilot suggested action: HOVER",
