condition,model,scene_label,truth,run,detected_risk,risk_correct,quality_score,s1_scene,s2_proximity,s3_risk,s4_length,s5_pilot_action,word_count,latency_ms,input_tokens,output_tokens,cost_usd,error
combined,gpt4o,door_open,safe,2,caution,0,4,1,1,0,1,1,52,2668.6,202,67,0.002015,
combined,gpt4o_mini,door_open,safe,2,safe,1,5,1,1,1,1,1,52,2265.0,2969,73,0.000489,
combined,gemini,door_open,safe,2,caution,0,4,1,1,0,1,1,66,2256.1,390,88,5.6e-05,
combined,claude,door_open,safe,3,caution,0,4,1,1,0,1,1,118,6045.1,268,177,0.003459,
combined,gpt4o,door_open,safe,3,safe,1,5,1,1,1,1,1,58,2660.1,202,73,0.002105,
combined,gpt4o_mini,door_open,safe,3,safe,1,5,1,1,1,1,1,57,2251.1,2969,75,0.00049,
combined,gemini,door_open,safe,3,caution,0,4,1,1,0,1,1,66,3485.6,390,88,5.6e-05,
combined,claude,door_open,safe,4,caution,0,4,1,1,0,1,1,67,5223.9,268,109,0.002439,
combined,gpt4o,door_open,safe,4,caution,0,4,1,1,0,1,1,42,2866.1,202,57,0.001865,
combined,gpt4o_mini,door_open,safe,4,safe,1,5,1,1,1,1,1,57,2455.2,2969,78,0.000492,
combined,gemini,door_open,safe,4,caution,0,4,1,1,0,1,1,69,3691.7,390,93,5.7e-05,
combined,claude,door_open,safe,5,caution,0,4,1,1,0,1,1,108,5531.4,268,162,0.003234,
combined,gpt4o,door_open,safe,5,caution,0,4,1,1,0,1,1,42,3172.0,202,57,0.001865,
combined,gpt4o_mini,door_open,safe,5,safe,1,5,1,1,1,1,1,53,2352.6,2969,69,0.000487,
combined,gemini,door_open,safe,5,caution,0,4,1,1,0,1,1,66,2154.3,390,88,5.6e-05,
yolo_only,yolo,person_far,safe,1,hazard,0,0,0,0,0,0,0,0,32.31,0,0,0.0,
yolo_only,yolo,person_far,safe,2,hazard,0,0,0,0,0,0,0,0,28.87,0,0,0.0,
yolo_only,yolo,person_far,safe,3,hazard,0,0,0,0,0,0,0,0,29.4,0,0,0.0,
yolo_only,yolo,person_far,safe,4,hazard,0,0,0,0,0,0,0,0,26.83,0,0,0.0,
yolo_only,yolo,person_far,safe,5,hazard,0,0,0,0,0,0,0,0,27.83,0,0,0.0,
llm_only,claude,person_far,safe,1,caution,0,4,1,1,0,1,1,108,6261.7,245,159,0.00312,
llm_only,gpt4o,person_far,safe,1,caution,0,4,1,1,0,1,1,42,2762.8,182,60,0.00181,
llm_only,gpt4o_mini,person_far,safe,1,caution,0,4,1,1,0,1,1,58,2354.1,2949,77,0.000489,
llm_only,gemini,person_far,safe,1,caution,0,4,1,1,0,1,1,49,2255.6,372,69,4.9e-05,
llm_only,claude,person_far,safe,2,caution,0,4,1,1,0,1,1,104,6254.0,245,164,0.003195,
llm_only,gpt4o,person_far,safe,2,caution,0,4,1,1,0,1,1,42,2857.6,182,58,0.00178,
llm_only,gpt4o_mini,person_far,safe,2,caution,0,4,1,1,0,1,1,58,2253.6,2949,77,0.000489,
llm_only,gemini,person_far,safe,2,caution,0,4,1,1,0,1,1,49,2666.5,372,69,4.9e-05,
llm_only,claude,person_far,safe,3,caution,0,4,1,1,0,1,1,100,5738.4,245,152,0.003015,
llm_only,gpt4o,person_far,safe,3,caution,0,4,1,1,0,1,1,42,2759.9,182,58,0.00178,
llm_only,gpt4o_mini,person_far,safe,3,caution,0,4,1,1,0,1,1,58,2363.7,2949,77,0.000489,
llm_only,gemini,person_far,safe,3,caution,0,4,1,1,0,1,1,49,2248.9,372,69,4.9e-05,
llm_only,claude,person_far,safe,4,caution,0,4,1,1,0,1,1,96,5473.3,245,145,0.00291,
llm_only,gpt4o,person_far,safe,4,caution,0,4,1,1,0,1,1,42,2921.7,182,60,0.00181,
llm_only,gpt4o_mini,person_far,safe,4,caution,0,4,1,1,0,1,1,58,2438.7,2949,77,0.000489,
llm_only,gemini,person_far,safe,4,caution,0,4,1,1,0,1,1,48,1830.3,372,68,4.8e-05,
llm_only,claude,person_far,safe,5,caution,0,4,1,1,0,1,1,109,6076.7,245,161,0.00315,
llm_only,gpt4o,person_far,safe,5,caution,0,4,1,1,0,1,1,42,2557.1,182,58,0.00178,
llm_only,gpt4o_mini,person_far,safe,5,caution,0,4,1,1,0,1,1,58,2163.1,2949,77,0.000489,
llm_only,gemini,person_far,safe,5,caution,0,4,1,1,0,1,1,48,1857.3,372,68,4.8e-05,
combined,claude,person_far,safe,1,caution,0,4,1,1,0,1,1,139,6774.6,302,198,0.003876,
combined,gpt4o,person_far,safe,1,caution,0,4,1,1,0,1,1,45,3135.4,234,63,0.002115,
combined,gpt4o_mini,person_far,safe,1,caution,0,4,1,1,0,1,1,49,2253.8,3001,67,0.00049,
combined,gemini,person_far,safe,1,hazard,0,4,1,1,0,1,1,45,3895.3,434,61,5.1e-05,
combined,claude,person_far,safe,2,hazard,0,4,1,1,0,1,1,110,6146.3,302,162,0.003336,
combined,gpt4o,person_far,safe,2,caution,0,4,1,1,0,1,1,45,2965.0,234,63,0.002115,
combined,gpt4o_mini,person_far,safe,2,caution,0,4,1,1,0,1,1,53,2356.7,3001,72,0.000493,
combined,gemini,person_far,safe,2,hazard,0,4,1,1,0,1,1,45,1946.1,434,61,5.1e-05,
combined,claude,person_far,safe,3,caution,0,4,1,1,0,1,1,133,7374.9,302,194,0.003816,
combined,gpt4o,person_far,safe,3,caution,0,4,1,1,0,1,1,45,2697.6,234,63,0.002115,
combined,gpt4o_mini,person_far,safe,3,caution,0,4,1,1,0,1,1,45,2112.6,3001,61,0.000487,
combined,gemini,person_far,safe,3,hazard,0,4,1,1,0,1,1,45,2154.3,434,61,5.1e-05,
combined,claude,person_far,safe,4,caution,0,4,1,1,0,1,1,143,7173.7,302,210,0.004056,
combined,gpt4o,person_far,safe,4,caution,0,4,1,1,0,1,1,45,2557.5,234,63,0.002115,
combined,gpt4o_mini,person_far,safe,4,caution,0,4,1,1,0,1,1,46,2251.5,3001,64,0.000489,
combined,gemini,person_far,safe,4,hazard,0,4,1,1,0,1,1,45,1985.5,434,61,5.1e-05,
combined,claude,person_far,safe,5,caution,0,3,1,1,0,0,1,159,7549.4,302,239,0.004491,
combined,gpt4o,person_far,safe,5,caution,0,4,1,1,0,1,1,45,2852.8,234,63,0.002115,
combined,gpt4o_mini,person_far,safe,5,caution,0,4,1,1,0,1,1,53,2056.0,3001,72,0.000493,
combined,gemini,person_far,safe,5,hazard,0,4,1,1,0,1,1,45,2158.2,434,61,5.1e-05,
yolo_only,yolo,blocked_lens,hazard,1,safe,0,0,0,0,0,0,0,0,30.6,0,0,0.0,
yolo_only,yolo,blocked_lens,hazard,2,safe,0,0,0,0,0,0,0,0,30.61,0,0,0.0,
yolo_only,yolo,blocked_lens,hazard,3,safe,0,0,0,0,0,0,0,0,28.3,0,0,0.0,
yolo_only,yolo,blocked_lens,hazard,4,safe,0,0,0,0,0,0,0,0,27.31,0,0,0.0,
yolo_only,yolo,blocked_lens,hazard,5,safe,0,0,0,0,0,0,0,0,28.23,0,0,0.0,
llm_only,claude,blocked_lens,hazard,1,hazard,1,5,1,1,1,1,1,97,6143.1,245,150,0.002985,
llm_only,gpt4o,blocked_lens,hazard,1,hazard,1,5,1,1,1,1,1,32,2382.5,182,44,0.00157,
llm_only,gpt4o_mini,blocked_lens,hazard,1,safe,0,4,1,1,0,1,1,39,2222.1,2949,55,0.000475,
llm_only,gemini,blocked_lens,hazard,1,caution,0,4,1,1,0,1,1,43,2974.5,372,62,4.6e-05,
llm_only,claude,blocked_lens,hazard,2,hazard,1,5,1,1,1,1,1,92,5734.5,245,148,0.002955,
llm_only,gpt4o,blocked_lens,hazard,2,hazard,1,5,1,1,1,1,1,32,2762.4,182,44,0.00157,
llm_only,gpt4o_mini,blocked_lens,hazard,2,hazard,1,5,1,1,1,1,1,33,2047.8,2949,46,0.00047,
llm_only,gemini,blocked_lens,hazard,2,caution,0,4,1,1,0,1,1,45,3076.0,372,64,4.7e-05,
llm_only,claude,blocked_lens,hazard,3,hazard,1,5,1,1,1,1,1,86,5908.5,245,143,0.00288,
llm_only,gpt4o,blocked_lens,hazard,3,hazard,1,5,1,1,1,1,1,32,2413.3,182,44,0.00157,
llm_only,gpt4o_mini,blocked_lens,hazard,3,hazard,1,5,1,1,1,1,1,39,2016.9,2949,52,0.000474,
llm_only,gemini,blocked_lens,hazard,3,caution,0,4,1,1,0,1,1,43,2053.7,372,62,4.6e-05,
llm_only,claude,blocked_lens,hazard,4,hazard,1,5,1,1,1,1,1,85,5835.9,245,137,0.00279,
llm_only,gpt4o,blocked_lens,hazard,4,hazard,1,5,1,1,1,1,1,32,2457.7,182,44,0.00157,
llm_only,gpt4o_mini,blocked_lens,hazard,4,hazard,1,5,1,1,1,1,1,41,2147.3,2949,55,0.000475,
llm_only,gemini,blocked_lens,hazard,4,caution,0,4,1,1,0,1,1,45,1952.2,372,64,4.7e-05,
llm_only,claude,blocked_lens,hazard,5,hazard,1,5,1,1,1,1,1,86,6507.2,245,142,0.002865,
llm_only,gpt4o,blocked_lens,hazard,5,hazard,1,5,1,1,1,1,1,32,2628.3,182,44,0.00157,
llm_only,gpt4o_mini,blocked_lens,hazard,5,hazard,1,5,1,1,1,1,1,33,2123.4,2949,46,0.00047,
llm_only,gemini,blocked_lens,hazard,5,caution,0,4,1,1,0,1,1,45,3281.8,372,64,4.7e-05,
combined,claude,blocked_lens,hazard,1,hazard,1,5,1,1,1,1,1,98,5738.4,268,150,0.003054,
combined,gpt4o,blocked_lens,hazard,1,hazard,1,5,1,1,1,1,1,32,3069.0,202,44,0.00167,
combined,gpt4o_mini,blocked_lens,hazard,1,safe,0,4,1,1,0,1,1,26,2047.9,2969,40,0.000469,
combined,gemini,blocked_lens,hazard,1,caution,0,4,1,1,0,1,1,34,2050.1,390,49,4.4e-05,
combined,claude,blocked_lens,hazard,2,hazard,1,5,1,1,1,1,1,89,6248.9,268,143,0.002949,
combined,gpt4o,blocked_lens,hazard,2,hazard,1,5,1,1,1,1,1,32,2557.2,202,44,0.00167,
combined,gpt4o_mini,blocked_lens,hazard,2,safe,0,4,1,1,0,1,1,29,7874.5,2969,43,0.000471,
combined,gemini,blocked_lens,hazard,2,caution,0,4,1,1,0,1,1,34,2003.4,390,49,4.4e-05,
combined,claude,blocked_lens,hazard,3,hazard,1,5,1,1,1,1,1,117,6527.7,268,181,0.003519,
combined,gpt4o,blocked_lens,hazard,3,caution,0,4,1,1,0,1,1,34,2692.9,202,46,0.0017,
combined,gpt4o_mini,blocked_lens,hazard,3,safe,0,4,1,1,0,1,1,29,2195.7,2969,43,0.000471,
combined,gemini,blocked_lens,hazard,3,caution,0,4,1,1,0,1,1,34,1398.7,390,49,4.4e-05,
combined,claude,blocked_lens,hazard,4,caution,0,4,1,1,0,1,1,100,6237.6,268,147,0.003009,
combined,gpt4o,blocked_lens,hazard,4,caution,0,4,1,1,0,1,1,32,2715.4,202,45,0.001685,
combined,gpt4o_mini,blocked_lens,hazard,4,safe,0,4,1,1,0,1,1,29,2149.4,2969,43,0.000471,
combined,gemini,blocked_lens,hazard,4,caution,0,4,1,1,0,1,1,34,1755.1,390,49,4.4e-05,
combined,claude,blocked_lens,hazard,5,hazard,1,5,1,1,1,1,1,105,6485.9,268,169,0.003339,
combined,gpt4o,blocked_lens,hazard,5,caution,0,4,1,1,0,1,1,32,2412.7,202,45,0.001685,
combined,gpt4o_mini,blocked_lens,hazard,5,safe,0,4,1,1,0,1,1,29,2047.1,2969,43,0.000471,
combined,gemini,blocked_lens,hazard,5,caution,0,4,1,1,0,1,1,34,1741.7,390,49,4.4e-05,
